OBJECTID,workclass,permitclass,proposedworkdescription,permitclassmapped,applieddate,issueddate,estprojectcost,constcompletedofficial,censuslanduse,censuslandusecode,contractorcompanyname,contractorcity,countylocation,description,expiresdate,fee,housingunitstotal,issueddate_mth,issueddate_yr,jurisdiction_inout_ral,latitude_perm,longitude_perm,originalzip,proposeduse,recordupdatedate,statuscurrent,statuscurrentmapped,workclassmapped,CreationDate,EditDate,permitnum
269961,Alteration/Repairs ,,"Complete repairs after water damage.  Change out HVAC furnace and Duct work. Replace insulation, dry",Residential,2024/08/23 14:00:56.167+00,2024/08/29 14:34:12.813+00,42240,No, ADDITION/ALTERATION RESIDENTIAL BLDG,434,The Great Tarheel Restoration Company,Cary,,"Complete repairs after water damage.  Change out HVAC furnace and Duct work. Replace insulation, dry",2025/11/10 07:41:31+00,515,,8,2024,Inside City Limits,35.95568588,-78.54358691,27614, ADDITION/ALTERATION RESIDENTIAL BLDG,2024/11/11 09:25:33.697+00,Issued,Permit Issued,Existing,2024/08/28 11:06:03.571+00,2024/11/14 11:06:29.865+00,BLDR-042510-2024
269963,Alteration/Repairs ,,finish basement area with (1) bathroom,Residential,2024/08/23 09:55:28.177+00,2024/09/09 02:25:54.700+00,24640,No, ADDITION/ALTERATION RESIDENTIAL BLDG,434,"J. PARK BUILDERS, INC",,,finish basement area with (1) bathroom,2025/12/03 09:57:00+00,361,,9,2024,Inside City Limits,35.8620949,-78.62487939,27609, ADDITION/ALTERATION RESIDENTIAL BLDG,2024/12/03 09:57:09.523+00,Issued,Permit Issued,Existing,2024/08/28 11:06:03.571+00,2024/12/06 11:06:12.977+00,BLDR-042436-2024
269964,Addition,,ADDITION: Adding heated space to the existing structure in the form of the following rooms: Master B,Residential,2024/08/26 15:05:29.503+00,2024/09/16 17:42:37.730+00,54638.16,No, ADDITION/ALTERATION RESIDENTIAL BLDG,434,Woodle Custom Homes,Zebulon,,ADDITION: Adding heated space to the existing structure in the form of the following rooms: Master B,2026/01/15 15:27:38+00,552,,9,2024,Inside City Limits,35.8950349,-78.70359337,27613, ADDITION/ALTERATION RESIDENTIAL BLDG,2025/01/15 15:28:33.143+00,Complete,Permit Finaled,New,2024/08/28 11:06:03.571+00,2025/01/18 11:06:57.363+00,BLDR-042801-2024
269965,Deck/Porch,,Deck replacement,Residential,2024/08/26 22:46:36.183+00,2024/09/16 17:37:20.623+00,0,No, ADDITION/ALTERATION RESIDENTIAL BLDG,434,The Pro Fixer dba Royal Outdoor Living,Raleigh,,Deck replacement,2026/01/16 08:58:24+00,469,,9,2024,Inside City Limits,35.82576191,-78.64063389,27609, ADDITION/ALTERATION RESIDENTIAL BLDG,2025/01/16 09:01:46.223+00,Issued,Permit Issued,Existing,2024/08/28 11:06:03.571+00,2025/01/19 11:06:06.756+00,BLDR-042843-2024
269966,Deck/Porch,,Proposed Renovation includes Screened Porch Addition with Gas Fireplace & Renovated Kitchen/Mudroom.,Residential,2024/08/26 11:50:56.187+00,2024/10/15 14:14:43.850+00,24150.63,No, ADDITION/ALTERATION RESIDENTIAL BLDG,434,"SIGMON CONSTRUCTION, INC.",Raleigh,,Proposed Renovation includes Screened Porch Addition with Gas Fireplace & Renovated Kitchen/Mudroom.,2025/12/11 13:33:34+00,468,,10,2024,Inside City Limits,35.82358391,-78.62980689,27609, ADDITION/ALTERATION RESIDENTIAL BLDG,2024/12/11 13:34:32.377+00,Issued,Permit Issued,Existing,2024/08/28 11:06:03.571+00,2024/12/14 11:06:17.737+00,BLDR-042719-2024
269968,Townhouse,,"NEW TH LOTS 61-66, SPR-0048-2022, PROJECT CONSISTS OF 6 CASES.2 STORY R-3 OCC 5-B CONST
BLDR-042831-",Residential,2024/08/26 16:14:52.337+00,2024/11/07 19:30:19.873+00,264741.6,No,"	 RESIDENTIAL TOWNHOUSE",102,"DRB Group - North Carolina, LLC",Durham,,"NEW TH LOTS 61-66, SPR-0048-2022, PROJECT CONSISTS OF 6 CASES.2 STORY R-3 OCC 5-B CONST
BLDR-042831-",2025/05/06 00:00:00+00,4436,,11,2024,Inside City Limits,35.72272093,-78.54635442,27610,"	 RESIDENTIAL TOWNHOUSE",2024/11/07 14:30:29.060+00,Issued,Permit Issued,New,2024/08/28 11:06:03.571+00,2024/11/09 11:06:35.387+00,BLDR-042831-2024
269970,Addition,,"We plan to renovate approximately 1,100 sqft of unconditioned space on a second floor. The new condi",Residential,2024/08/23 12:43:40.063+00,2024/10/03 11:41:23.540+00,125042.24,No, ADDITION/ALTERATION RESIDENTIAL BLDG,434,Thornhill and Company LLC,Raleigh,,"We plan to renovate approximately 1,100 sqft of unconditioned space on a second floor. The new condi",2025/12/01 10:11:43+00,1248,,10,2024,Inside City Limits,35.8780339,-78.62977989,27615, ADDITION/ALTERATION RESIDENTIAL BLDG,2024/11/27 10:11:53.020+00,Issued,Permit Issued,New,2024/08/28 11:06:03.571+00,2024/11/30 11:06:57.212+00,BLDR-042493-2024
269971,Alteration/Repairs ,,We will encapsulate and seal all vents and perforations in the crawlspace. The existing insulation w,Residential,2024/08/26 09:34:12.377+00,2024/08/26 16:29:06.307+00,18500,No, ADDITION/ALTERATION RESIDENTIAL BLDG,434,"Groundworks Operations North Carolina, LLC DBA-JES",,,We will encapsulate and seal all vents and perforations in the crawlspace. The existing insulation w,2025/02/22 00:00:00+00,127,,8,2024,Inside City Limits,35.8725529,-78.54198942,27616, ADDITION/ALTERATION RESIDENTIAL BLDG,2024/10/17 07:55:51.550+00,Issued,Permit Issued,Existing,2024/08/28 11:06:03.571+00,2024/10/20 11:06:04.894+00,BLDR-042658-2024
269972,New Single Family Dwelling,,"NSFD LOT 10 FARRIOR HLS BLN
DEMO-015316-2024 ISSUED 04/04/2024
4305 Windsor Pl 2799707 Raleigh, NC 2",Residential,2024/08/23 13:54:40.220+00,2024/10/24 16:51:54.287+00,1178945.04,No, DETACHED SINGLE FAMILY DWELLING,101,RALEIGH CUSTOM HOMES,,,"NSFD LOT 10 FARRIOR HLS BLN
DEMO-015316-2024 ISSUED 04/04/2024
4305 Windsor Pl 2799707 Raleigh, NC 2",2025/12/12 09:04:14+00,7013,,10,2024,Inside City Limits,35.84038691,-78.63180489,27609, DETACHED SINGLE FAMILY DWELLING,2024/12/12 09:04:35.353+00,Issued,Permit Issued,New,2024/08/28 11:06:03.571+00,2024/12/15 11:06:15.888+00,BLDR-042507-2024
269973,Alteration/Repairs ,,Create single person  ADA toilet room that was previously utilized as storage,Non-Residential,2024/08/26 10:26:38+00,2024/10/04 17:50:20.897+00,17976.42,No,"	 ADDITION/ALTERATION NONRESIDENTIAL BLDG",437,"Langlois Construction Services, Inc.",Raleigh,Wake,Create single person  ADA toilet room that was previously utilized as storage,2026/01/14 12:43:02+00,176,,10,2024,Inside City Limits,35.79706992,-78.67244438,27607,"	 ADDITION/ALTERATION NONRESIDENTIAL BLDG",2025/01/14 12:44:00.937+00,Issued,Permit Issued,Existing,2024/08/28 11:06:03.571+00,2025/01/17 11:06:44.372+00,BLDNR-042686-2024
269974,Deck/Porch,,"Replace 335 sq. ft. Patio  with 375 sq. ft. Patio. Open air, no screening. Reducing width of existin",Residential,2024/08/26 14:55:56.203+00,2024/09/03 13:35:27.333+00,26403.75,No, ADDITION/ALTERATION RESIDENTIAL BLDG,434,"Dempsey Hodges Construction, LLC - Contr",,,"Replace 335 sq. ft. Patio  with 375 sq. ft. Patio. Open air, no screening. Reducing width of existin",2026/01/14 11:16:21+00,469,,9,2024,Inside City Limits,35.81045292,-78.64727589,27608, ADDITION/ALTERATION RESIDENTIAL BLDG,2025/01/14 11:16:29.410+00,Issued,Permit Issued,Existing,2024/08/28 11:06:03.571+00,2025/01/17 11:06:44.372+00,BLDR-042797-2024
269975,Alteration/Repairs ,,Zoning Change of Use,Non-Residential,2024/07/22 13:20:44+00,2024/08/26 18:28:38+00,5000,No,"	 ADDITION/ALTERATION NONRESIDENTIAL BLDG",437,Klaystation,Raleigh,Wake,Zoning Change of Use,2025/02/22 00:00:00+00,59,,8,2024,Inside City Limits,35.8544359,-78.5824894,27616,"	 ADDITION/ALTERATION NONRESIDENTIAL BLDG",2024/08/26 18:28:38+00,Issued,Permit Issued,Existing,2024/08/28 11:06:03.571+00,2024/08/29 11:06:05.402+00,BLDNR-036287-2024
269976,Alteration/Repairs ,,"We will be removing a patio door and four windows to install a 189"" x 82"" four panel sliding glass d",Residential,2024/08/26 13:34:05.007+00,2024/09/05 18:40:03.930+00,15000,No, ADDITION/ALTERATION RESIDENTIAL BLDG,434,Marvin Replacement,Durham,,"We will be removing a patio door and four windows to install a 189"" x 82"" four panel sliding glass d",2025/11/13 12:07:34+00,127,,9,2024,Inside City Limits,35.9043409,-78.66705338,27615, ADDITION/ALTERATION RESIDENTIAL BLDG,2024/11/13 12:08:12.060+00,Complete,Permit Finaled,Existing,2024/08/28 11:06:03.571+00,2024/11/16 11:06:43.282+00,BLDR-042763-2024
269977,Deck/Porch,,Remove existing rear deck and build 12'x16' wood deck with stairs to grade.,Residential,2024/08/26 10:08:12.270+00,2024/09/11 15:57:35.920+00,12200,No, ADDITION/ALTERATION RESIDENTIAL BLDG,434,"CONTR - ERIC W SMITH BUILDER, INC",,,Remove existing rear deck and build 12'x16' wood deck with stairs to grade.,2025/10/14 15:49:14+00,352,,9,2024,Outside City Limits,35.83076591,-78.50811793,27604, ADDITION/ALTERATION RESIDENTIAL BLDG,2024/10/15 14:03:41.853+00,Complete,Permit Finaled,Existing,2024/08/28 11:06:03.571+00,2024/10/18 11:06:15.482+00,BLDR-042674-2024
269979,Alteration/Repairs ,,"Master bath remodel. New tops, cabs, tile, paint, no structural change, new window. Electrical: 2 va",Residential,2024/08/26 22:46:17.087+00,2024/08/31 04:08:47.463+00,7181.82,No, ADDITION/ALTERATION RESIDENTIAL BLDG,434,"WD Smith Construction, LLC",Fuquay Varina,,"Master bath remodel. New tops, cabs, tile, paint, no structural change, new window. Electrical: 2 va",2025/09/09 12:00:42+00,127,,8,2024,Inside City Limits,35.91873189,-78.5745064,27614, ADDITION/ALTERATION RESIDENTIAL BLDG,2025/01/12 17:21:23.427+00,Issued,Permit Issued,Existing,2024/08/28 11:06:03.571+00,2025/01/15 11:06:13.325+00,BLDR-042842-2024
269985,New Single Family Dwelling,,"NSFD LOT 10 WATKINS GROVE
1221 Dimaggio Dr 5548556 Raleigh, NC 27616
MONO SLAB
NO FIREPLACE 
NO SCRE",Residential,2024/08/27 11:48:07.510+00,2024/09/25 20:22:55.623+00,413869.98,No, DETACHED SINGLE FAMILY DWELLING,101,"BEAZER HOMES CORP, T/A",,,"NSFD LOT 10 WATKINS GROVE
1221 Dimaggio Dr 5548556 Raleigh, NC 27616
MONO SLAB
NO FIREPLACE 
NO SCRE",2025/11/26 11:59:17+00,6542,,9,2024,Inside City Limits,35.8606999,-78.51091693,27616, DETACHED SINGLE FAMILY DWELLING,2024/11/26 12:00:44.383+00,Issued,Permit Issued,New,2024/08/29 11:06:05.402+00,2024/11/29 11:07:04.287+00,BLDR-042951-2024
269987,Townhouse,,"NEW TH LOTS 61-66, SPR-0048-2022, PROJECT CONSISTS OF 6 CASES.2 STORY R-3 OCC 5-B CONST
BLDR-042831-",Residential,2024/08/26 16:14:52.337+00,2024/10/25 12:48:29.343+00,265586.52,No,"	 RESIDENTIAL TOWNHOUSE",102,"DRB Group - North Carolina, LLC",Durham,,"NEW TH LOTS 61-66, SPR-0048-2022, PROJECT CONSISTS OF 6 CASES.2 STORY R-3 OCC 5-B CONST
BLDR-042831-",2025/04/23 00:00:00+00,4443,,10,2024,Inside City Limits,35.72270293,-78.54627792,27610,"	 RESIDENTIAL TOWNHOUSE",2024/11/07 18:16:36.500+00,Issued,Permit Issued,New,2024/08/29 11:06:05.402+00,2024/11/09 11:06:35.387+00,BLDR-042973-2024
269988,Pool/Spa,,"16x34 inground pool, 930 sf patio, 5' aluminum pool approved fence, 1'w x 105' L x max height 37"" ga",Residential,2024/08/27 13:31:43+00,2024/09/03 12:38:53+00,155000,No, ADDITION/ALTERATION RESIDENTIAL BLDG,434,"RISING SUN POOLS, INC.",,,"16x34 inground pool, 930 sf patio, 5' aluminum pool approved fence, 1'w x 105' L x max height 37"" ga",2025/03/02 00:00:00+00,352,,9,2024,Inside City Limits,35.85801791,-78.66969038,27612, ADDITION/ALTERATION RESIDENTIAL BLDG,2024/09/03 12:38:53+00,Issued,Permit Issued,Existing,2024/08/29 11:06:05.402+00,2024/09/06 11:06:06.294+00,BLDR-043003-2024
269990,Alteration/Repairs ,,MAIN CASE: BLDNR-041121-2024 SUITE F: BLDNR-042956-2024 SUITE E  This project will include the inter,Non-Residential,2024/08/16 09:13:13+00,2024/10/03 20:43:03.893+00,271185.75,No,"	 ADDITION/ALTERATION NONRESIDENTIAL BLDG",437,"ARDENT CONTRACTING, INC.",Cary,Wake,MAIN CASE: BLDNR-041121-2024 SUITE F: BLDNR-042956-2024 SUITE E  This project will include the inter,2025/12/12 12:38:37+00,1258,,10,2024,Inside City Limits,35.79142692,-78.70327387,27606,"	 ADDITION/ALTERATION NONRESIDENTIAL BLDG",2024/12/12 12:38:51.483+00,Issued,Permit Issued,Existing,2024/08/29 11:06:05.402+00,2024/12/15 11:06:15.888+00,BLDNR-041121-2024
269991,Alteration/Repairs ,,MAIN CASE: BLDNR-041121-2024 SUITE F: BLDNR-042956-2024 SUITE E  This project will include the inter,Non-Residential,2024/08/16 09:13:13+00,2024/10/03 20:42:56.290+00,278198.23,No,"	 ADDITION/ALTERATION NONRESIDENTIAL BLDG",437,"ARDENT CONTRACTING, INC.",Cary,Wake,MAIN CASE: BLDNR-041121-2024 SUITE F: BLDNR-042956-2024 SUITE E  This project will include the inter,2026/01/19 13:27:30+00,872,,10,2024,Inside City Limits,35.79142692,-78.70321087,27606,"	 ADDITION/ALTERATION NONRESIDENTIAL BLDG",2025/01/20 14:08:15.117+00,Issued,Permit Issued,Existing,2024/08/29 11:06:05.402+00,2025/01/22 11:06:53.010+00,BLDNR-042956-2024
269992,Townhouse,,"4 LOT TOWNHOME - FORESTVILLE STATION- SPR- 0155-2022  2 STORY 5-B CONST R-3 OCC
LOT 1-  BLDR-042942-",Residential,2024/08/27 11:06:00+00,2024/12/04 18:09:11.223+00,284033.94,No,"	 RESIDENTIAL TOWNHOUSE",102,Taylor Morrison of Carolina,,Wake,"4 LOT TOWNHOME - FORESTVILLE STATION- SPR- 0155-2022  2 STORY 5-B CONST R-3 OCC
LOT 1-  BLDR-042942-",2025/12/22 08:19:27+00,4160,,12,2024,Inside City Limits,35.90141589,-78.50562943,27616,"	 RESIDENTIAL TOWNHOUSE",2024/12/27 12:38:44.590+00,Issued,Permit Issued,New,2024/08/29 11:06:05.402+00,2024/12/30 14:06:54.554+00,BLDR-042946-2024
269993,Interior Completion,,"Boatman Restaurant & Distillery UNIT C120, ASSEMBLY - OCC, 1st time interior completion of first flo",Non-Residential,2024/08/27 11:22:54+00,2024/11/26 14:42:08.503+00,693800.82,No,"	 ADDITION/ALTERATION NONRESIDENTIAL BLDG",437,WILLIAMS REALTY & BUILDING COMPANY INC.,,Wake,"Boatman Restaurant & Distillery UNIT C120, ASSEMBLY - OCC, 1st time interior completion of first flo",2026/01/13 13:54:26+00,8763,,11,2024,Inside City Limits,35.78962692,-78.63966639,27604,"	 ADDITION/ALTERATION NONRESIDENTIAL BLDG",2025/01/13 13:55:39.417+00,Issued,Permit Issued,Existing,2024/08/29 11:06:05.402+00,2025/01/16 11:06:32.559+00,BLDNR-042950-2024
269994,Townhouse,,"4 LOT TOWNHOME - FORESTVILLE STATION- SPR- 0155-2022  2 STORY 5-B CONST R-3 OCC
LOT 1-  BLDR-042942-",Residential,2024/08/27 11:06:00+00,2024/12/04 18:15:20.233+00,271078.5,No,"	 RESIDENTIAL TOWNHOUSE",102,Taylor Morrison of Carolina,,Wake,"4 LOT TOWNHOME - FORESTVILLE STATION- SPR- 0155-2022  2 STORY 5-B CONST R-3 OCC
LOT 1-  BLDR-042942-",2025/12/22 08:19:35+00,4113,,12,2024,Inside City Limits,35.90137989,-78.50568343,27616,"	 RESIDENTIAL TOWNHOUSE",2024/12/27 12:33:18.817+00,Issued,Permit Issued,New,2024/08/29 11:06:05.402+00,2024/12/30 14:06:54.554+00,BLDR-042945-2024
269995,Alteration/Repairs ,,"renovate existing kitchen to include new cabinets, appliances, sink, fixtures, outlets and gas line",Residential,2024/08/27 13:38:52.620+00,2024/08/29 14:54:43.060+00,10561.5,No, ADDITION/ALTERATION RESIDENTIAL BLDG,434,Madison Renovations LLC,,,"renovate existing kitchen to include new cabinets, appliances, sink, fixtures, outlets and gas line",2025/12/17 10:25:45+00,127,,8,2024,Inside City Limits,35.80250592,-78.68442338,27607, ADDITION/ALTERATION RESIDENTIAL BLDG,2024/12/17 10:27:25.917+00,Issued,Permit Issued,Existing,2024/08/29 11:06:05.402+00,2024/12/20 11:06:42.914+00,BLDR-043005-2024
269997,Alteration/Repairs ,,"renovate existing bath to include new plumbing fixtures, cabinets, lights and bath fan",Residential,2024/08/27 13:48:02.370+00,2024/09/02 14:31:53.853+00,5632.8,No, ADDITION/ALTERATION RESIDENTIAL BLDG,434,Madison Renovations LLC,,,"renovate existing bath to include new plumbing fixtures, cabinets, lights and bath fan",2025/12/23 08:59:03+00,127,,9,2024,Inside City Limits,35.83509491,-78.62793489,27609, ADDITION/ALTERATION RESIDENTIAL BLDG,2024/12/23 10:30:23.500+00,Issued,Permit Issued,Existing,2024/08/29 11:06:05.402+00,2024/12/26 11:06:25.900+00,BLDR-043011-2024
269998,Alteration/Repairs ,,This project consists of complete bathroom renovation. Rough-In mechanical for new location for laun,Non-Residential,2024/08/27 13:16:23+00,2024/10/10 13:19:27.323+00,4852.54,No, ADDITION/ALTERATION RESIDENTIAL BLDG,434,"Patriot Construction and Fencing, Inc.",Zebulon,Wake,This project consists of complete bathroom renovation. Rough-In mechanical for new location for laun,2025/12/12 14:50:52+00,176,,10,2024,Inside City Limits,35.75954893,-78.65236989,27603, ADDITION/ALTERATION RESIDENTIAL BLDG,2024/12/12 14:51:01.633+00,Complete,Permit Finaled,Existing,2024/08/29 11:06:05.402+00,2024/12/15 11:06:15.888+00,BLDNR-043019-2024
270000,New Single Family Dwelling,,New single family residential construction,Residential,2024/08/27 11:37:21.337+00,2024/10/04 19:20:46.130+00,456960.9,No, DETACHED SINGLE FAMILY DWELLING,101,"BEAZER HOMES CORP, T/A",,,New single family residential construction,2025/12/04 13:31:09+00,7297,,10,2024,Inside City Limits,35.8617349,-78.50904943,27616, DETACHED SINGLE FAMILY DWELLING,2024/12/04 13:31:52.220+00,Issued,Permit Issued,New,2024/08/29 11:06:05.402+00,2024/12/07 11:06:37.262+00,BLDR-042948-2024
270002,New Residential Dwelling,,"NSFD LOT 11 WATKINS GROVE
1217 Dimaggio Dr 5548554 Raleigh, NC 27616
MONO SLAB
NO FIREPLACE",Residential,2024/08/27 11:43:08.307+00,2024/10/14 15:38:55.800+00,442878.9,No, DETACHED SINGLE FAMILY DWELLING,101,"BEAZER HOMES CORP, T/A",,,"NSFD LOT 11 WATKINS GROVE
1217 Dimaggio Dr 5548554 Raleigh, NC 27616
MONO SLAB
NO FIREPLACE",2026/01/02 10:06:07+00,6720,,10,2024,Inside City Limits,35.91592389,-78.5712169,27616, DETACHED SINGLE FAMILY DWELLING,2025/01/02 10:07:13.143+00,Issued,Permit Issued,Existing,2024/08/29 11:06:05.402+00,2025/01/05 11:06:18.927+00,BLDR-042949-2024
270003,Alteration/Repairs ,,"Demo existing cabinets and wall between kitchen and living room
Allowance for mid range cabinets for",Residential,2024/08/27 12:04:24.123+00,2024/08/29 14:03:06.163+00,28164,No, ADDITION/ALTERATION RESIDENTIAL BLDG,434,,,,"Demo existing cabinets and wall between kitchen and living room
Allowance for mid range cabinets for",2025/12/19 11:03:40+00,127,,8,2024,Inside City Limits,35.84915291,-78.66231938,27612, ADDITION/ALTERATION RESIDENTIAL BLDG,2024/12/19 11:05:49.487+00,Complete,Permit Finaled,Existing,2024/08/29 11:06:05.402+00,2024/12/22 11:06:50.841+00,BLDR-042955-2024
270004,Addition,,"Addition: Finishing out the attic space with a bedroom, kitchen, bathroom, and living room.

Inspect",Residential,2024/08/27 15:52:37.100+00,2024/10/03 16:09:05.450+00,89979.72,No, ADDITION/ALTERATION RESIDENTIAL BLDG,434,"WD Smith Construction, LLC",Fuquay Varina,,"Addition: Finishing out the attic space with a bedroom, kitchen, bathroom, and living room.

Inspect",2025/10/29 09:06:58+00,930,,10,2024,Inside City Limits,35.85341891,-78.69450337,27612, ADDITION/ALTERATION RESIDENTIAL BLDG,2024/10/29 09:07:07.210+00,Issued,Permit Issued,New,2024/08/29 11:06:05.402+00,2024/11/01 11:06:37.533+00,BLDR-043077-2024
270005,Alteration/Repairs ,,We will encapsulate and seal all vents and perforations in the crawlspace. The existing insulation w,Residential,2024/08/27 12:53:45.367+00,2024/08/29 14:22:40.270+00,15000,No, ADDITION/ALTERATION RESIDENTIAL BLDG,434,"Groundworks Operations North Carolina, LLC DBA-JES",,,We will encapsulate and seal all vents and perforations in the crawlspace. The existing insulation w,2025/10/07 11:48:24+00,127,,8,2024,Inside City Limits,35.71498993,-78.54237192,27613, ADDITION/ALTERATION RESIDENTIAL BLDG,2024/10/07 11:48:42.640+00,Complete,Permit Finaled,Existing,2024/08/29 11:06:05.402+00,2024/10/10 11:07:26.513+00,BLDR-042979-2024
270008,Townhouse,,"4 LOT TOWNHOME - FORESTVILLE STATION- SPR- 0155-2022  2 STORY 5-B CONST R-3 OCC
LOT 1-  BLDR-042942-",Residential,2024/08/27 11:06:00+00,2024/12/04 18:05:28.613+00,340361.94,No,"	 RESIDENTIAL TOWNHOUSE",102,Taylor Morrison of Carolina,,Wake,"4 LOT TOWNHOME - FORESTVILLE STATION- SPR- 0155-2022  2 STORY 5-B CONST R-3 OCC
LOT 1-  BLDR-042942-",2025/12/22 08:19:41+00,4365,,12,2024,Inside City Limits,35.90134389,-78.50575993,27616,"	 RESIDENTIAL TOWNHOUSE",2024/12/27 12:23:43.313+00,Issued,Permit Issued,New,2024/08/29 11:06:05.402+00,2024/12/30 14:06:54.554+00,BLDR-042942-2024
270009,Alteration/Repairs ,,REMOVE/REPLACE 5 WINDOWS,Residential,2024/08/27 14:33:42.040+00,2024/09/05 17:07:21.783+00,8377,No, ADDITION/ALTERATION RESIDENTIAL BLDG,434,WINDOW NATION,GLASTONBURY,,REMOVE/REPLACE 5 WINDOWS,2025/11/20 11:35:48+00,127,,9,2024,Inside City Limits,35.81583491,-78.58437041,27604, ADDITION/ALTERATION RESIDENTIAL BLDG,2024/11/20 11:36:05.800+00,Complete,Permit Finaled,Existing,2024/08/29 11:06:05.402+00,2024/11/23 11:06:56.222+00,BLDR-043023-2024
270013,Foundation Only,,"New freestanding road sign, 21' tall overall ID sign w/ digital display.",Non-Residential,2024/08/27 08:31:57+00,2024/10/07 19:03:39.067+00,0,No,"	 MISCELLANEOUS SUCH AS FENCES",601,"Sign & Awning Systems, Inc.",,,"New freestanding road sign, 21' tall overall ID sign w/ digital display.",2025/12/18 11:21:54+00,71,,10,2024,Inside City Limits,35.79427092,-78.56251841,27610,"	 MISCELLANEOUS SUCH AS FENCES",2024/12/18 11:22:07.087+00,Issued,Permit Issued,Existing,2024/08/29 11:06:05.402+00,2024/12/21 11:06:45.376+00,BLDNR-042867-2024
270014,Townhouse,,"4 LOT TOWNHOME - FORESTVILLE STATION- SPR- 0155-2022  2 STORY 5-B CONST R-3 OCC
LOT 1-  BLDR-042942-",Residential,2024/08/27 11:06:00+00,2024/12/04 18:18:19.240+00,338390.46,No,"	 RESIDENTIAL TOWNHOUSE",102,Taylor Morrison of Carolina,,Wake,"4 LOT TOWNHOME - FORESTVILLE STATION- SPR- 0155-2022  2 STORY 5-B CONST R-3 OCC
LOT 1-  BLDR-042942-",2025/12/22 08:19:21+00,4358,,12,2024,Inside City Limits,35.90142489,-78.50553943,27616,"	 RESIDENTIAL TOWNHOUSE",2024/12/27 12:40:41.220+00,Issued,Permit Issued,New,2024/08/29 11:06:05.402+00,2024/12/30 14:06:54.554+00,BLDR-042947-2024
270015,Alteration/Repairs ,,relocation of toilet drain to a new position 4 ft to the right\ addition of two new vents,Residential,2024/08/27 21:25:36.060+00,2024/08/31 02:20:05.387+00,28586.46,No, ADDITION/ALTERATION RESIDENTIAL BLDG,434,VENTURIST LLC DBA Ready Set Remodel,Garner,,relocation of toilet drain to a new position 4 ft to the right\ addition of two new vents,2025/10/31 15:16:35+00,127,,8,2024,Inside City Limits,35.84475191,-78.66007388,27609, ADDITION/ALTERATION RESIDENTIAL BLDG,2024/10/31 15:17:06.097+00,Complete,Permit Finaled,Existing,2024/08/29 11:06:05.402+00,2024/11/03 17:19:46.190+00,BLDR-043093-2024
270016,Alteration/Repairs ,,Needing to fix damaged roof trusses per engineer letter.,Residential,2024/08/27 10:46:08+00,2024/09/10 17:17:43+00,1000,No, ADDITION/ALTERATION RESIDENTIAL BLDG,434,"ASHTON RALEIGH RESIDENTIAL, LLC",,,Needing to fix damaged roof trusses per engineer letter.,2025/03/09 00:00:00+00,127,,9,2024,Inside City Limits,35.8817419,-78.72626436,27613, ADDITION/ALTERATION RESIDENTIAL BLDG,2024/09/10 15:02:26+00,Issued,Permit Issued,Existing,2024/08/29 11:06:05.402+00,2024/09/13 11:06:11.908+00,BLDR-042928-2024
270017,Pool/Spa,,Install hot tub on rear deck,Residential,2024/08/27 13:26:23.253+00,2024/09/10 15:22:07.823+00,0,No, ADDITION/ALTERATION RESIDENTIAL BLDG,434,ARCHADECK OF RALEIGH-DURHAM,,,Install hot tub on rear deck,2025/10/02 14:31:45+00,352,,9,2024,Inside City Limits,35.8960159,-78.73433736,27613, ADDITION/ALTERATION RESIDENTIAL BLDG,2024/10/02 14:31:54.880+00,Complete,Permit Finaled,Existing,2024/08/29 11:06:05.402+00,2024/10/04 14:45:39.630+00,BLDR-042998-2024
270019,New Single Family Dwelling,,"Lot #10  Budleigh East Cottage Court - Type B

SFD; Detached Garage Permitted Separately

SPR-0009-2",Residential,2024/08/05 16:20:48.120+00,2024/11/13 20:14:08.123+00,268402.92,No, DETACHED SINGLE FAMILY DWELLING,101,WILLIAMS REALTY & BUILDING COMPANY INC.,,Wake,"Lot #10  Budleigh East Cottage Court - Type B

SFD; Detached Garage Permitted Separately

SPR-0009-2",2025/05/12 00:00:00+00,4859,,11,2024,Inside City Limits,35.81161392,-78.65394488,27608, DETACHED SINGLE FAMILY DWELLING,2024/11/14 01:53:54.427+00,Issued,Permit Issued,New,2024/08/30 11:06:33.796+00,2024/11/16 11:06:43.282+00,BLDR-043181-2024
270020,Accessory Structure,,Lot#10 DETACHED GARAGE,Residential,2024/08/28 13:13:27+00,2024/10/22 12:50:05.520+00,24060.96,No,"	 RESIDENTIAL GARAGE OR CARPORT",438,WILLIAMS REALTY & BUILDING COMPANY INC.,,Wake,Lot#10 DETACHED GARAGE,2025/04/20 00:00:00+00,353,,10,2024,Inside City Limits,35.81161392,-78.65394488,27608,"	 RESIDENTIAL GARAGE OR CARPORT",2024/10/22 12:50:05.520+00,Issued,Permit Issued,New,2024/08/30 11:06:33.796+00,2024/10/25 11:07:17.029+00,BLDR-043266-2024
