"Company","Ticker","Stock Price","Market Cap","Last Quarter Filed","Last Quarter Revenue","Annualized Revenue","YoY Growth%","Revenue Multiple","Shares Outstanding (estimate)","IPO Year","Year Founded","Founder(s)","Headquarters","Last Quarter EBITDA","Annualized EBITDA","YoY Change in EBITDA%","EBITDA Margin","Last Quarter Net Income","Annualized Net Income","YoY Change in Net Income%","Net Income Margin","Cash and Short Term Investments","YoY Change in Cash and Short Term Investments%","Lead Investor(s) Pre-IPO","Pre-IPO Venture Funding Estimate","Employee Count (estimate)","Annual Revenue per Employee (estimate)","Product Description","September 2024 Website Traffic (Estimate)","YoY Change in Website Traffic%","Company Website","Company Investor Relations Page","S-1 Filing","2023 10-K Filing"
"Karooooo","KARO","$47.20","$1,453,000,000","Aug 2024","$60,000,000","$240,000,000","6.39%","6.05","30,783,898","2021","2004","Zak Calisto","Midrand, South Africa","$27,320,000","$109,280,000","14.73%","45.53%","$12,320,000","$49,280,000","21.80%","20.53%","$41,160,000","8.55%","N/A","N/A","1000","$240,000","Telematics and fleet management solutions using advanced technology and data analytics to optimize vehicle tracking, driver behavior monitoring, and asset management","","","http://www.karooooo.com","http://www.karooooo.com/investor-relations","",""
"KingSoft Cloud","KC","$8.92","$2,154,000,000","Sep 2024","$270,000,000","$1,080,000,000","16.02%","1.99","241,479,821","2020","2012","Peng Lei","Beijing, China","$11,590,000","$46,360,000","186.55%","4.29%","-$150,000,000","-$600,000,000","-34.52%","-55.56%","$230,000,000","-38.06%","Xiaomi Corporation, Tencent Holdings Limited.","$1.8 billion","9790","$110,300","Cloud computing, including storage, data processing, and data analytics.","","","http://www.kingsoftcloud.com","http://ir.ksyun.com","",""
"Klaviyo","KVYO","$43.53","$11,737,000,000","Sep 2024","$235,090,000","$940,360,000","33.72%","12.48","269,630,140","2023","2012","Andrew Bialecki, Ed Hallen","Boston, Massachusetts, United States","-$10,020,000","-$40,080,000","96.65%","-4.26%","-$1,340,000","-$5,360,000","99.55%","-0.57%","$826,740,000","14.28%","Summit Partners, Shopify, Accel","$775 million","1600","$587,700","Targeted marketing automation system with features like email marketing, personalized messaging, segmentation, and analytics.","","","http://www.klaviyo.com","http://investors.klaviyo.com","https://www.sec.gov/Archives/edgar/data/1835830/000162828023030618/klaviyoincs-1.htm","https://www.sec.gov/Archives/edgar/data/1835830/000183583024000022/kvyo-20231231.htm"
"LegalZoom","LZ","$7.83","$1,353,000,000","Sep 2024","$168,600,000","$674,400,000","0.79%","2.01","172,796,935","2021","2001","Brian P. Liu, Robert Shapiro, Eddie Hartman, Brian S. Lee","Glendale, California, United States","$31,380,000","$125,520,000","84.82%","18.61%","$11,050,000","$44,200,000","46.68%","6.55%","$112,480,000","-46.98%","Kleiner Perkins, Institutional Venture Partners","$266 million","1410","$478,300","Legal documents, forms, and legal services for individuals and SMBs.","","","http://www.legalzoom.com","http://investors.legalzoom.com","https://www.sec.gov/Archives/edgar/data/1286139/000104746912005763/a2209299zs-1.htm","https://www.sec.gov/Archives/edgar/data/1286139/000128613924000031/lz-20231231.htm"
"Lightspeed POS","LSPD","$15.67","$3,438,000,000","Sep 2024","$277,180,000","$1,108,720,000","20.37%","3.10","219,400,128","2019","2005","Dax Dasilva","Montreal, Canada","-$6,940,000","-$27,760,000","71.91%","-2.50%","-$29,660,000","-$118,640,000","30.21%","-10.70%","$659,020,000","-13.46%","Accel Partners, Caisse de dépôt et placement du Québec (CDPQ), iNovia Capital.","$292 million","2600","$426,400","Point-of-sale solution with features like transaction processing, inventory management, analytics, and customer record management.","","","http://www.lightspeedhq.com","http://investors.lightspeedhq.com","",""
"LivePerson","LPSN","$0.85","$77,000,000","Sep 2024","$74,240,000","$296,960,000","-26.73%","0.26","90,588,235","2000","1995","Robert LoCascio","New York City, New York, United States","-$3,680,000","-$14,720,000","72.72%","-4.96%","-$28,310,000","-$113,240,000","46.90%","-38.13%","$142,100,000","-33.03%","Sierra Ventures, Benchmark Capital","$74 million","1350","$220,000","A customer messaging with real-time chatbots and customer data analytics.","","","http://www.liveperson.com","http://ir.liveperson.com","","https://www.sec.gov/Archives/edgar/data/1102993/000110299324000037/lpsn-20231231.htm"
"LiveRamp","RAMP","$30.90","$2,017,000,000","Sep 2024","$185,480,000","$741,920,000","16.02%","2.72","65,275,081","2018","2011","Aneel Bhusri, Mike Driscoll","San Francisco, California, United States","$12,330,000","$49,320,000","-25.90%","6.65%","$1,730,000","$6,920,000","-64.38%","0.93%","$348,440,000","-33.52%","Acxiom Ventures, Institutional Venture Partners (IVP)","$63 million","1420","$522,500","Data connectivity and data management solutions aimed at unifying data from various marketing platforms.","","","http://www.liveramp.com","http://investors.liveramp.com","","https://www.sec.gov/Archives/edgar/data/733269/000073326924000018/ramp-20240331.htm"
"Livongo","TDOC","$9.26","$1,594,000,000","Sep 2024","$640,510,000","$2,562,040,000","-2.99%","0.62","172,138,229","2015","2008","Glen Tullman, Lee Shapiro","Mountain View, California, United States","$13,390,000","$53,560,000","1.70%","2.09%","-$33,280,000","-$133,120,000","41.70%","-5.20%","$1,240,000,000","20.70%","General Catalyst, Kinnevik, Kleiner Perkins, Merck Global Health Innovation Fund, Sapphire Ventures","$235 million","4970","$515,500","Mobile application in the healthcare space for managing chronic conditions, providing personalized insights, coaching, and support.","","","http://www.livongo.com","http://ir.teladochealth.com","https://www.sec.gov/Archives/edgar/data/1477449/000104746915005109/a2224910zs-1.htm","https://www.sec.gov/Archives/edgar/data/1477449/000147744924000023/tdoc-20231231.htm"
"Logility Supply Chain Solutions","LGTY","$10.94","$368,000,000","Oct 2024","$25,290,000","$101,160,000","-1.57%","3.64","33,638,026","1983","1970","James C. Edenfield","Atlanta, Georgia, United States","$2,200,000","$8,800,000","-19.61%","8.70%","$1,740,000","$6,960,000","-26.45%","6.88%","$84,220,000","0.40%","N/A","N/A","510","$198,400","Supply chain management and enterprise retail and manufacturing solutions, including inventory management, demand planning, and collaboration tools.","","","http://www.logility.com","http://www.logility.com/company/investor-relations/","","https://www.sec.gov/Archives/edgar/data/713425/000162828024030530/amswa-20240430.htm"
"Marin Software","MRIN","$2.03","$6,000,000","Sep 2024","$4,280,000","$17,120,000","-3.52%","0.35","2,955,665","2013","2006","Chris Lien, Wister Walcott","San Francisco, California, United States","-$2,130,000","-$8,520,000","35.62%","-49.77%","-$2,330,000","-$9,320,000","53.05%","-54.44%","$5,590,000","-58.90%","Crosslink Capital, Benchmark Capital","$105 million","180","$95,100","Digital advertising management with features like ad campaign optimization, reporting, and audience targeting.","","","http://www.marinsoftware.com","http://investor.marinsoftware.com","https://www.sec.gov/Archives/edgar/data/1389002/000119312513055807/d450382ds1.htm","https://www.sec.gov/Archives/edgar/data/1389002/000095017024019131/mrin-20231231.htm"
"Marqeta","MQ","$3.70","$1,859,000,000","Sep 2024","$127,970,000","$511,880,000","17.52%","3.63","502,432,432","2021","2010","Jason Gardner, Omri Dahan, and Amy Pressman","Oakland, California, United States","-$39,280,000","-$157,120,000","42.42%","-30.69%","-$28,640,000","-$114,560,000","47.91%","-22.38%","$1,100,000,000","-14.89%","Coatue Management, Vitruvian Partners, Granite Ventures, Iconiq Capital","$528 million","990","$517,100","Card issuing platform, enabling businesses to create and manage payment cards.","","","http://www.marqeta.com","http://investors.marqeta.com","https://www.sec.gov/Archives/edgar/data/1522540/000119312521162113/d64065ds1.htm","https://www.sec.gov/Archives/edgar/data/1522540/000162828024007663/mq-20231231.htm"
"Match Group","MTCH","$33.22","$8,341,000,000","Jun 2024","$864,066,000","$3,456,264,000","4.16%","2.41","251,083,685","2020","1995","Gary Kremen, Peng T. Ong, Fran Maier, Will Bunker, Jim Young","Dallas, Texas, United States","$247,095,000","$988,380,000","1.22%","28.60%","$133,320,000","$533,280,000","-2.93%","15.43%","$843,604,000","-2.88%","Blackstone Group, General Atlantic","$1.8 billion","2820","$1,225,600","Online dating apps, including Tinder, OkCupid, and Match.com.","","","http://www.match.com","http://ir.mtch.com","","https://www.sec.gov/Archives/edgar/data/891103/000089110324000014/mtch-20231231.htm"
"Matterport","MTTR","$4.79","$1,547,000,000","Sep 2024","$43,790,000","$175,160,000","7.75%","8.83","322,964,509","2021","2011","David Gausebeck, Matt Bell","Sunnyvale, California, United States","-$39,130,000","-$156,520,000","5.09%","-89.36%","-$38,400,000","-$153,600,000","14.20%","-87.69%","$270,180,000","-33.75%","Lux Capital, DCM Ventures, Qualcomm Ventures, Greylock Partners","$116 million","610","$287,100","Platform for creating and sharing immersive 3D virtual tours and models of physical spaces.","","","http://www.matterport.com","http://investors.matterport.com","https://www.sec.gov/Archives/edgar/data/1819394/000119312520263889/d70164ds1.htm","https://www.sec.gov/Archives/edgar/data/1819394/000181939424000006/mttr-20231231.htm"
"MicroStrategy","MSTR","$358.18","$87,703,000,000","Sep 2024","$116,070,000","$464,280,000","-10.34%","188.90","244,857,334","1998","1989","Michael J. Saylor","Tysons, Virginia, United States","-$426,600,000","-$1,706,400,000","-1795.77%","-367.54%","-$340,170,000","-$1,360,680,000","-137.15%","-293.07%","$46,340,000","2.96%","American Research and Development Corporation, In-Q-Tel","$10 million","2170","$214,000","Business intelligence, mobile software, and cloud-based services for data analysis and visualization. Also well known for holding a lot of Bitcoin.","","","http://www.microstrategy.com","http://www.microstrategy.com/investor-relations","","https://www.sec.gov/Archives/edgar/data/1050446/000095017024015847/mstr-20231231.htm"
"Mitek Systems","MITK","$11.45","$514,000,000","Sep 2024","$43,220,000","$172,880,000","14.78%","2.97","44,890,830","1988","1986","John M. Thornton, James B. DeBello","San Diego, California, United States","$10,070,000","$40,280,000","2844.44%","23.30%","$8,570,000","$34,280,000","693.70%","19.83%","$130,340,000","-2.45%","Insight Venture Partners, Sutter Hill Ventures","$32 million","600","$288,100","Mobile capture and identity verification solutions enabling financial transactions through mobile devices.","","","http://www.miteksystems.com","http://investors.miteksystems.com","","https://www.sec.gov/Archives/edgar/data/807863/000095012324002926/mitk-20230930.htm"
"Monday","MNDY","$234.80","$11,723,000,000","Sep 2024","$251,000,000","$1,004,000,000","32.67%","11.68","49,927,598","2021","2012","Roy Mann, Eran Zinman, and Eran Yahav","New York City, New York, United States","-$24,200,000","-$96,800,000","-12635.26%","-9.64%","-$12,030,000","-$48,120,000","-260.60%","-4.79%","$1,390,000,000","31.64%","Insight Partners, Hamilton Lane","$234 million","1590","$631,400","Project management software that helps teams plan, track, and collaborate on tasks, with features like customizable workflows, automation, and visual dashboards.","","","http://www.monday.com","http://ir.monday.com","",""
"MongoDB","MDB","$243.00","$18,096,000,000","Oct 2024","$529,380,000","$2,117,520,000","22.28%","8.55","74,469,136","2017","2007","Eliot Horowitz, Dwight Merriman, Kevin Ryan","New York City, United States","-$24,480,000","-$97,920,000","38.05%","-4.62%","-$9,780,000","-$39,120,000","66.63%","-1.85%","$2,300,000,000","19.61%","Sequoia Capital, Flybridge Capital Partners, Union Square Ventures","$311 million","4690","$451,500","NoSQL database for storing and managing large volumes of unstructured data.","","","http://www.mongodb.com","http://investors.mongodb.com","https://www.sec.gov/Archives/edgar/data/1441816/000104746917006014/a2233365zs-1.htm","https://www.sec.gov/Archives/edgar/data/1441816/000144181624000049/mdb-20240131.htm"
"My Size","MYSZ","$4.17","$5,000,000","Sep 2024","$1,840,000","$7,360,000","-14.70%","0.68","1,199,041","2016","2014","Ronen Luzon","Airport City, Israel","-$507,000","-$2,028,000","50.25%","-27.55%","-$1,300,000","-$5,200,000","-14.84%","-70.65%","$2,370,000","-35.83%","N/A","$5.5 million.","40","$184,000","Mobile measurement solution, allowing users to accurately measure objects using their smartphone camera.","","","http://www.mysizeid.com","http://mysizeid.com/investors/","https://www.sec.gov/Archives/edgar/data/1211805/000121390017012574/fs12017_mysize.htm","https://www.sec.gov/Archives/edgar/data/1211805/000149315224012542/form10-k.htm"
"N-Able","NABL","$9.65","$1,793,000,000","Sep 2024","$116,440,000","$465,760,000","8.25%","3.85","185,803,109","2021","2000","Gavin Garbutt","Ottawa, Canada","$27,680,000","$110,720,000","21.57%","23.77%","$10,760,000","$43,040,000","78.90%","9.24%","$174,440,000","36.89%","Insight Partners","$4.5 million","1510","$308,500","Remote monitoring and management solutions for IT service providers.","","","http://www.n-able.com","http://investors.n-able.com","https://www.sec.gov/Archives/edgar/data/1834488/000162828021017497/nabl-20210823.htm","https://www.sec.gov/Archives/edgar/data/1834488/000183448824000032/nabl-20231231.htm"
"Ncino","NCNO","$35.27","$4,084,000,000","Oct 2024","$138,800,000","$555,200,000","13.82%","7.36","115,792,458","2020","2012","Pierre Naudé","Wilmington, North Carolina, United States","$11,630,000","$46,520,000","78.93%","8.38%","-$5,250,000","-$21,000,000","67.93%","-3.78%","$257,890,000","156.67%","Wellington Management, Salesforce Ventures","$213 million","1860","$298,500","Platform for financial institutions to streamline loan origination, document management, and customer relationship management.","","","http://www.ncino.com","http://investor.ncino.com","","https://www.sec.gov/Archives/edgar/data/1902733/000190273324000053/ncno-20240131.htm"
"Nerdy","NRDY","$1.69","$305,000,000","Sep 2024","$37,530,000","$150,120,000","-6.86%","2.03","180,473,373","2020","2015","Chuck Cohn","Chicago, Illinois, United States","-$25,350,000","-$101,400,000","-19.86%","-67.55%","-$15,900,000","-$63,600,000","-29.37%","-42.37%","$65,000,000","-22.65%","TPG Capital, Oakley Capital","$1.7 billion","730","$205,600","Online learning platform that connects students with tutors for personalized lessons in various subjects.","","","http://www.nerdy.com","http://investors.nerdy.com","https://www.sec.gov/Archives/edgar/data/1819404/000119312521299492/d189572ds1.htm","https://www.sec.gov/Archives/edgar/data/1819404/000181940424000019/nrdy-20231231.htm"
"Netflix","NFLX","$932.12","$398,442,000,000","Sep 2024","$9,820,000,000","$39,280,000,000","15.02%","10.14","427,457,838","2002","1997","Reed Hastings, Marc Randolph","Los Gatos, California, United States","$2,990,000,000","$11,960,000,000","48.99%","30.45%","$2,360,000,000","$9,440,000,000","40.90%","24.03%","$9,220,000,000","17.24%","Technology Crossover Ventures","$30 Million","13000","$3,021,500","Subscription-based streaming service for TV shows, movies, documentaries, etc.","","","http://www.netflix.com","http://ir.netflix.net","https://www.sec.gov/Archives/edgar/data/1065280/000101287002002125/ds1a.htm","https://www.sec.gov/Archives/edgar/data/1065280/000106528024000030/nflx-20231231.htm"
"Nice","NICE","$175.42","$39,853,000,000","Sep 2024","$689,960,000","$2,759,840,000","14.74%","14.44","227,186,182","1996","1986","Benny Levin","Ra'anana, Israel","$195,160,000","$780,640,000","24.82%","28.29%","$120,920,000","$483,680,000","30.93%","17.53%","$1,530,000,000","-7.56%","N/A","N/A","14000","$197,100","Software solutions for enterprise organizations, specializing in customer experience management, workforce optimization, and fraud prevention","","","http://www.nice.com","http://www.nice.com/company/investors","",""
"Okta","OKTA","$83.19","$14,255,000,000","Oct 2024","$665,000,000","$2,660,000,000","13.87%","5.36","171,354,730","2017","2009","Todd McKinnon, Frederic Kerrest","San Francisco, California, United States","$6,000,000","$24,000,000","106.98%","0.90%","$16,000,000","$64,000,000","119.75%","2.41%","$2,250,000,000","5.54%","Sequoia Capital, Andreessen Horowitz","$229 million","6020","$441,900","Identity management solutions for secure access to applications and data.","","","http://www.okta.com","http://investor.okta.com","https://www.sec.gov/Archives/edgar/data/1660134/000119312517080301/d289173ds1.htm","https://www.sec.gov/Archives/edgar/data/1660134/000166013424000025/okta-20240131.htm"
"Olo","OLO","$7.72","$1,264,000,000","Sep 2024","$71,850,000","$287,400,000","24.33%","4.40","163,730,570","2021","2005","Noah Glass, Matthew Tucker, and Damir Becirovic","New York City, New York, United States","-$2,380,000","-$9,520,000","71.62%","-3.31%","-$3,640,000","-$14,560,000","69.09%","-5.07%","$349,710,000","-7.18%","RRE Ventures, Tiger Global Management, The Raine Group","$91 million","750","$383,200","Online ordering platform for restaurants, enabling customers to order food for delivery or pickup.","","","http://www.olo.com","http://investors.olo.com","https://www.sec.gov/Archives/edgar/data/1431695/000119312521049073/d867519ds1.htm","https://www.sec.gov/Archives/edgar/data/1431695/000143169524000008/olo-20231231.htm"
"OneSpan","OSPN","$18.39","$699,000,000","Sep 2024","$56,240,000","$224,960,000","-4.41%","3.11","38,009,788","1998","1991","T. Kendall Hunt","Chicago, Illinois, United States","$13,890,000","$55,560,000","306.26%","24.70%","$8,270,000","$33,080,000","300.17%","14.70%","$77,480,000","13.11%","Bessemer Venture Partners, Trident Capital, Fidelity Investments","$47 million","820","$274,300","Digital identity and authentication solutions enabling secure transactions and preventing fraud.","","","http://www.onespan.com","http://investors.onespan.com","https://www.sec.gov/Archives/edgar/data/1044777/000095013606000265/file001.htm","https://www.sec.gov/Archives/edgar/data/1044777/000162828024009466/ospn-20231231.htm"
"OneStream","OS","$29.10","$6,824,000,000","Sep 2024","$129,140,000","$516,560,000","20.69%","13.21","234,501,718","2024","2010","Tom Shea, Bob Powers, and Craig Colby","Birmingham, Michigan, United States","-$254,130,000","-$1,016,520,000","-3369.39%","-196.79%","-$171,940,000","-$687,760,000","-2642.03%","-133.14%","$495,460,000","–","D1 Capital Partners, Tiger Global, Investment Group of Santa Barbara","$200 million","1400","$369,000","Unified corporate performance management (CPM) platform designed to streamline financial consolidation, planning, reporting, and analysis.","","","http://www.onestream.com","https://investor.onestream.com/","https://www.sec.gov/Archives/edgar/data/1889956/000095017024079050/onestream_s-1_ipo.htm",""
"OpenText","OTEX","$28.01","$7,469,000,000","Sep 2024","$1,270,000,000","$5,080,000,000","-10.97%","1.47","266,654,766","1996","1991","Tom Jenkins, Tim Bray, Frank Tompa, Gaston Gonnet","Waterloo, Ontario, Canada","$366,420,000","$1,465,680,000","-3.71%","28.85%","$84,370,000","$337,480,000","4.29%","6.64%","$1,000,000,000","8.43%","Battery Ventures, Sequoia Capital","$1.5 million","24700","$205,700","Enterprise information management software with content management, business process management, and customer experience management features.","","","http://www.opentext.com","http://investors.opentext.com","","https://www.sec.gov/Archives/edgar/data/1002638/000100263824000052/otex-20240630.htm"
"Oracle","ORCL","$171.41","$479,426,000,000","Nov 2024","$14,060,000,000","$56,240,000,000","8.64%","8.52","2,796,954,670","1986","1977","Larry Ellison, Bob Miner, Ed Oates","Redwood City, California, United States","$5,640,000,000","$22,560,000,000","10.44%","40.11%","$3,150,000,000","$12,600,000,000","25.89%","22.40%","$11,310,000,000","30.16%","Sequoia Capital","$2 million","168000","$334,800","Wide range of enterprise software platforms, including database management systems, cloud services, and business applications.","","","http://www.oracle.com","http://investor.oracle.com","","https://www.sec.gov/Archives/edgar/data/1341439/000095017024075605/orcl-20240531.htm"
"Outbrain","OB","$7.60","$377,000,000","Sep 2024","$224,180,000","$896,720,000","-2.54%","0.42","49,605,263","2021","2006","Yaron Galai, Ori Lahav","New York City, United States","-$557,000","-$2,228,000","-110.69%","-0.25%","$6,700,000","$26,800,000","1218.11%","2.99%","$130,530,000","-22.58%","Lightspeed Venture Partners, Index Ventures, Gemini Israel Ventures","$99 million","1120","$800,600","Content discovery platform that recommends personalized articles, videos, and other content to users based on their interests and browsing behavior.","","","http://www.outbrain.com","http://investors.outbrain.com","https://www.sec.gov/Archives/edgar/data/1454938/000110465921086945/tm2113258-10_s1.htm","https://www.sec.gov/Archives/edgar/data/1454938/000145493824000024/outbrain-20231231.htm"
"PagerDuty","PD","$18.43","$1,662,000,000","Oct 2024","$118,950,000","$475,800,000","9.41%","3.49","90,179,056","2019","2010","Alex Solomon, Andrew Miklas, Baskar Puvanathasan, Dan Alexandru, Dan Mills, David Shackleton, Devananda van der Veen, Jennifer Tejada, John Laban, Julian Dunn, Michael Basnight, Ramin Sayar, Rob Malnati, Sean Higgins","San Francisco, California, United States","-$5,220,000","-$20,880,000","66.98%","-4.39%","-$6,560,000","-$26,240,000","56.64%","-5.51%","$542,160,000","-5.76%","Andreessen Horowitz, Accel, Bessemer Venture Partners","$173.6 million","1210","$393,200","Incident management platform that helps businesses respond to critical issues, providing real-time alerts, on-call scheduling, and automated escalations.","","","http://www.pagerduty.com","http://investor.pagerduty.com","https://www.sec.gov/Archives/edgar/data/1568100/000162828019003003/pagerdutys-1.htm","https://www.sec.gov/Archives/edgar/data/1568100/000156810024000013/pd-20240131.htm"
"Palantir","PLTR","$82.38","$187,581,000,000","Sep 2024","$725,520,000","$2,902,080,000","29.98%","64.64","2,277,021,122","2020","2003","Peter Thiel, Alex Karp, Joe Lonsdale, Stephen Cohen, and Adi Tatarko","Denver, Colorado, United States","$121,230,000","$484,920,000","149.20%","16.71%","$143,520,000","$574,080,000","100.72%","19.78%","$4,560,000,000","39.01%","Founders Fund, In-Q-Tel, 17 Capital, Tiger Global Management","$2.6 billion","3880","$748,000","Data integration, machine learning and data analysis platforms for governement and enterprise.","","","http://www.palantir.com","http://investors.palantir.com","https://www.sec.gov/Archives/edgar/data/1321655/000119312520230013/d904406ds1.htm","https://www.sec.gov/Archives/edgar/data/1321655/000132165524000022/pltr-20231231.htm"
"Palo Alto Networks","PANW","$189.51","$124,357,000,000","Oct 2024","$2,140,000,000","$8,560,000,000","13.88%","14.53","656,202,839","2012","2005","Nir Zuk","Santa Clara, California, United States","$327,400,000","$1,309,600,000","17.14%","15.30%","$350,700,000","$1,402,800,000","80.59%","16.39%","$3,390,000,000","-12.91%","Greylock Partners, Sequoia Capital","$65 million","10000","$856,000","Cybersecurity solutions including next-generation firewalls, cloud security, and threat intelligence services to protect organizations from cyber threats and safeguard their digital assets and networks","","","http://www.paloaltonetworks.com","http://investors.paloaltonetworks.com","https://www.sec.gov/Archives/edgar/data/1327567/000119312512153764/d318373ds1.htm","https://www.sec.gov/Archives/edgar/data/1327567/000132756724000029/panw-20240731.htm"
"PAR Technology","PAR","$75.11","$2,727,000,000","Sep 2024","$96,750,000","$387,000,000","40.83%","7.05","36,306,750","1983","1968","John W. Sammon Jr., Donald H. Foley","New Hartford, New York, United States","-$10,240,000","-$40,960,000","35.76%","-10.58%","-$19,830,000","-$79,320,000","-27.82%","-20.50%","$118,380,000","48.25%","BlackRock, Vanguard Group","N/A","1800","$215,000","Software solutions for the hospitality industry, including point-of-sale systems, workforce management, and food safety compliance.","","","http://www.partech.com","http://www.partech.com/investor-relations/","","https://www.sec.gov/Archives/edgar/data/708821/000070882124000014/par-20231231.htm"
"Paycom","PAYC","$209.75","$12,095,000,000","Sep 2024","$451,930,000","$1,807,720,000","11.23%","6.69","57,663,886","2014","1998","Chad Richison","Oklahoma City, Oklahoma, United States","$142,950,000","$571,800,000","13.59%","31.63%","$73,280,000","$293,120,000","-2.58%","16.21%","$325,760,000","-32.70%","N/A","$27 million","6550","$276,000","Human resources platform with features like payroll, HR, talent acquisition, and time and labor management.","","","http://www.paycom.com","http://investors.paycom.com","https://www.sec.gov/Archives/edgar/data/1590955/000119312514091543/d609623ds1.htm","https://www.sec.gov/Archives/edgar/data/1590955/000095017024015863/payc-20231231.htm"
"Paycor","PYCR","$19.18","$3,446,000,000","Sep 2024","$167,480,000","$669,920,000","16.64%","5.14","179,666,319","2021","1990","Bob Coughlin, Mike Braun","Cincinnati, Ohio, United States","$11,900,000","$47,600,000","151.43%","7.11%","-$7,280,000","-$29,120,000","64.63%","-4.35%","$97,620,000","79.85%","Apax Partners, Francisco Partners","$165 million","2900","$231,000","HR and payroll solutions, including timekeeping, benefits administration, and talent management.","","","http://www.paycor.com","http://investors.paycor.com","https://www.sec.gov/Archives/edgar/data/1839439/000119312521296896/d205942ds1.htm","https://www.sec.gov/Archives/edgar/data/1839439/000183943924000051/pycr-20240630.htm"
"Paylocity","PCTY","$201.19","$11,216,000,000","Sep 2024","$362,960,000","$1,451,840,000","14.29%","7.73","55,748,298","2014","1997","Steve Sarowitz","Schaumburg, Illinois, United States","$71,840,000","$287,360,000","47.29%","19.79%","$49,570,000","$198,280,000","43.62%","13.66%","$778,550,000","155.24%","Adams Street Partners, Great Hill Partners","$27 million","6300","$230,500","Payroll and human resources solutions for SMBs and Enterprise.","","","http://www.paylocity.com","http://investors.paylocity.com","https://www.sec.gov/Archives/edgar/data/1591698/000104746914002485/a2218484zs-1a.htm","https://www.sec.gov/Archives/edgar/data/1591698/000159169824000151/pcty-20240630.htm"
"Pegasystems","PEGA","$95.06","$8,152,000,000","Sep 2024","$325,050,000","$1,300,200,000","-2.87%","6.27","85,756,364","1996","1983","Alan Trefler","Cambridge, Massachusetts, United States","-$4,700,000","-$18,800,000","-140.39%","-1.45%","-$14,390,000","-$57,560,000","-97.69%","-4.43%","$702,990,000","109.03%","Bessemer Venture Partners, Matrix Partners","$5 million","6380","$203,800","Business process automation, operations management, and customer engagement solutions.","","","http://www.pega.com","http://www.pega.com/about/investors","","https://www.sec.gov/Archives/edgar/data/1013857/000101385724000012/pega-20231231.htm"
"Perion Network","PERI","$8.36","$405,000,000","Sep 2024","$102,200,000","$408,800,000","-44.85%","0.99","48,444,976","2006","2000","Ofer Adler, Yaron Adler","Tel Aviv, Israel","$769,000","$3,076,000","-97.97%","0.75%","$2,110,000","$8,440,000","-93.56%","2.06%","$383,860,000","-26.69%","N/A","$20 million","460","$888,700","Digital advertising tools, including ad-blocking, search monetization, and social media advertising.","","","http://www.perion.com","http://www.perion.com/investors/","",""
"Pros Holding","PRO","$22.55","$1,067,000,000","Sep 2024","$82,700,000","$330,800,000","7.06%","3.23","47,317,073","2007","1985","Andres Reiner, Ronald F. Woestemeyer","Houston, Texas, United States","$2,010,000","$8,040,000","137.92%","2.43%","$235,000","$940,000","101.69%","0.28%","$140,560,000","-11.64%","TA Associates, Fidelity Investments","$40 million","1650","$200,500","Pricing and revenue management solutions.","","","http://www.pros.com","http://ir.pros.com","https://www.sec.gov/Archives/edgar/data/1392972/000104746907002561/a2176970zs-1.htm","https://www.sec.gov/Archives/edgar/data/1392972/000139297224000025/pro-20231231.htm"
"PubMatic","PUBM","$15.37","$762,000,000","Sep 2024","$71,790,000","$287,160,000","12.73%","2.65","49,577,098","2020","2006","Rajeev Goel, Amar Goel, Anand Das, Amar Goel","Redwood City, California, United States","$5,120,000","$20,480,000","-27.20%","7.13%","-$912,000","-$3,648,000","-151.41%","-1.27%","$140,380,000","-18.08%","August Capital, Draper Fisher Jurvetson (DFJ), Helion Venture Partners, Nexus Venture Partners","$76 million","910","$315,600","Digital advertising with features like programmatic advertising, real-time bid management, and analytics.","","","http://www.pubmatic.com","http://investors.pubmatic.com","https://www.sec.gov/Archives/edgar/data/1422930/000162828020016438/pubmatics-12020.htm","https://www.sec.gov/Archives/edgar/data/1422930/000142293024000012/pubm-20231231.htm"
"Qualys","QLYS","$141.59","$5,181,000,000","Sep 2024","$153,870,000","$615,480,000","8.36%","8.42","36,591,567","2012","1999","Philippe Courtot","Foster City, California, United States","$49,340,000","$197,360,000","-1.88%","32.07%","$46,210,000","$184,840,000","-0.65%","30.03%","$386,340,000","-9.61%","Trident Capital, ABS Ventures","N/A","1500","$410,300","Cloud-based security and compliance solutions, including vulnerability management, threat protection, and asset inventory services","","","http://www.qualys.com","http://investor.qualys.com","https://www.sec.gov/Archives/edgar/data/1107843/000119312512265366/d355355ds1.htm","https://www.sec.gov/Archives/edgar/data/1107843/000110784324000008/qlys-20231231.htm"
"Rackspace Technology","RXT","$2.22","$505,000,000","Sep 2024","$675,800,000","$2,703,200,000","-7.73%","0.19","227,477,477","2020","1998","Graham Weston, Dirk Elmendorf, Pat Condon, Richard Yoo","San Antonio, Texas, United States","$51,600,000","$206,400,000","-33.59%","7.64%","-$186,600,000","-$746,400,000","17.65%","-27.61%","$193,400,000","-41.83%","Apollo Global Management","$1.3 billion","7000","$386,200","Managed cloud services, multi-cloud solutions, and professional services.","","","http://www.rackspace.com","http://ir.rackspace.com","https://www.sec.gov/Archives/edgar/data/1810019/000119312520190902/d915709ds1.htm","https://www.sec.gov/Archives/edgar/data/1810019/000181001924000042/rxt-20231231.htm"
